学生序号,题号,Activity时间,Answer时间,Notes时间,AA时间差,NA时间差,最终时间差
15,104,2017-6-15 08:34:44,2017-06-15 08:36:39,,115,0,115
74,105,2017-6-15 08:33:23,2017-06-15 08:34:28,,65,0,65
49,105,2017-6-15 08:20:01,2017-06-15 08:22:09,,128,0,128
15,103,2017-6-15 08:29:44,2017-06-15 08:34:37,,293,0,293
15,102,2017-6-15 08:28:45,2017-06-15 08:29:15,,30,0,30
49,109,2017-6-15 08:23:48,2017-06-15 08:32:34,,526,0,526
49,108,2017-6-15 08:22:19,2017-06-15 08:23:36,,77,0,77
49,107,2017-6-15 08:19:18,2017-06-15 08:19:57,,39,0,39
49,110,2017-6-15 07:53:21,2017-06-15 08:02:03,,522,0,522
49,110,2017-6-15 08:02:05,2017-06-15 08:05:15,2017-06-15 08:02:05,190,0,190
70,105,2017-6-15 07:58:38,2017-06-15 08:00:02,,84,0,84
70,109,2017-6-15 08:07:46,2017-06-15 08:09:45,,119,0,119
70,108,2017-6-15 08:07:17,2017-06-15 08:07:29,,12,0,12
19,106,2017-6-15 08:05:34,2017-06-15 08:06:33,,59,0,59
19,106,2017-6-15 08:06:46,2017-06-15 08:06:50,,4,0,4
19,106,2017-6-15 08:06:59,2017-06-15 08:07:04,,5,0,5
19,111,2017-6-15 07:53:04,2017-06-15 07:53:50,2017-06-15 07:53:04,46,0,46
70,107,2017-6-15 08:06:58,2017-06-15 08:07:10,,12,0,12
70,106,2017-6-15 08:06:37,2017-06-15 08:06:49,,12,0,12
46,111,2017-6-15 08:05:25,2017-06-15 08:07:37,,132,0,132
19,107,2017-6-15 08:05:22,2017-06-15 08:05:29,,7,0,7
19,108,2017-6-15 08:05:01,2017-06-15 08:05:16,2017-06-15 08:05:01,15,0,15
83,109,2017-6-15 08:01:38,2017-06-15 08:03:37,,119,0,119
58,111,2017-6-15 08:02:50,2017-06-15 08:03:50,,60,0,60
19,109,2017-6-15 08:02:38,2017-06-15 08:02:54,2017-06-15 08:02:38,16,0,16
46,105,2017-6-15 07:50:03,2017-06-15 07:53:31,,208,0,208
83,108,2017-6-15 08:00:29,2017-06-15 08:00:37,,8,0,8
58,105,2017-6-15 08:01:17,2017-06-15 08:02:20,,63,0,63
30,108,2017-6-15 07:59:32,2017-06-15 07:59:39,,7,0,7
79,111,2017-6-15 07:56:46,2017-06-15 07:58:46,,120,0,120
71,106,2017-6-15 07:58:28,2017-06-15 07:58:36,,8,0,8
71,111,2017-6-15 07:32:25,2017-06-15 07:40:59,,514,0,514
19,110,2017-6-15 07:58:04,2017-06-15 07:58:43,,39,0,39
83,107,2017-6-15 07:57:59,2017-06-15 07:58:14,,15,0,15
71,107,2017-6-15 07:56:30,2017-06-15 07:56:59,,29,0,29
70,110,2017-6-15 07:56:47,2017-06-15 07:57:45,,58,0,58
83,106,2017-6-15 07:56:57,2017-06-15 07:57:16,,19,0,19
19,105,2017-6-15 07:53:57,2017-06-15 07:56:00,,123,0,123
19,105,2017-6-15 07:56:03,2017-06-15 07:57:03,2017-06-15 07:56:03,60,0,60
71,108,2017-6-15 07:55:51,2017-06-15 07:56:24,,33,0,33
30,106,2017-6-15 07:55:00,2017-06-15 07:59:17,,257,0,257
79,105,2017-6-15 07:54:37,2017-06-15 07:56:42,,125,0,125
79,110,2017-6-15 07:39:47,2017-06-15 07:41:02,,75,0,75
48,111,2017-6-15 07:42:15,2017-06-15 07:44:13,,118,0,118
30,105,2017-6-15 07:52:30,2017-06-15 07:53:30,2017-06-15 07:53:58,60,88,88
30,105,2017-6-15 07:53:59,2017-06-15 07:54:45,,46,0,46
58,110,2017-6-15 07:49:34,2017-06-15 07:52:41,,187,0,187
49,106,2017-6-15 07:53:01,2017-06-15 07:53:13,,12,0,12
18,105,2017-6-15 07:28:23,2017-06-15 07:31:53,,210,0,210
79,109,2017-6-15 07:52:29,2017-06-15 07:54:01,,92,0,92
71,109,2017-6-15 07:52:03,2017-06-15 07:55:35,,212,0,212
79,108,2017-6-15 07:52:01,2017-06-15 07:52:24,,23,0,23
79,107,2017-6-15 07:51:46,2017-06-15 07:51:56,,10,0,10
79,106,2017-6-15 07:51:31,2017-06-15 07:51:41,,10,0,10
48,105,2017-6-15 07:47:21,2017-06-15 07:48:08,,47,0,47
30,111,2017-6-15 07:41:27,2017-06-15 07:45:19,,232,0,232
80,111,2017-6-15 07:25:53,2017-06-15 07:44:01,,1088,0,1088
30,110,2017-6-15 07:50:03,2017-06-15 07:50:48,,45,0,45
33,110,2017-6-15 07:28:07,2017-06-15 07:30:10,,123,0,123
59,111,2017-6-15 07:24:44,2017-06-15 07:40:47,,963,0,963
71,110,2017-6-15 07:48:03,2017-06-15 07:50:54,,171,0,171
30,109,2017-6-15 07:45:44,2017-06-15 07:47:22,2017-06-15 07:47:58,98,134,134
30,109,2017-6-15 07:47:59,2017-06-15 07:49:50,,111,0,111
59,105,2017-6-15 07:47:33,2017-06-15 07:48:35,,62,0,62
33,109,2017-6-15 07:47:33,2017-06-15 07:55:26,,473,0,473
18,109,2017-6-15 07:40:12,2017-06-15 07:47:13,,421,0,421
18,109,2017-6-15 07:47:26,2017-06-15 07:52:21,2017-06-15 07:47:26,295,0,295
33,108,2017-6-15 07:47:18,2017-06-15 07:47:27,,9,0,9
59,110,2017-6-15 07:47:09,2017-06-15 07:47:27,,18,0,18
80,109,2017-6-15 07:46:07,2017-06-15 07:49:54,,227,0,227
75,110,2017-6-15 07:45:53,2017-06-15 07:47:30,,97,0,97
80,108,2017-6-15 07:45:50,2017-06-15 07:46:00,,10,0,10
48,110,2017-6-15 07:45:11,2017-06-15 07:47:05,,114,0,114
70,111,2017-6-15 07:44:54,2017-06-15 07:56:37,,703,0,703
80,107,2017-6-15 07:44:54,2017-06-15 07:45:40,,46,0,46
33,107,2017-6-15 07:44:48,2017-06-15 07:46:33,,105,0,105
80,106,2017-6-15 07:44:40,2017-06-15 07:44:45,,5,0,5
33,106,2017-6-15 07:44:15,2017-06-15 07:44:41,,26,0,26
38,105,2017-6-15 07:30:21,2017-06-15 07:31:15,2017-06-15 07:30:21,54,0,54
38,105,2017-6-15 07:31:19,2017-06-15 07:32:26,,67,0,67
38,105,2017-6-15 07:36:13,2017-06-15 07:37:00,,47,0,47
49,111,2017-6-15 07:43:04,2017-06-15 07:52:52,,588,0,588
58,109,2017-6-15 07:42:44,2017-06-15 07:49:24,,400,0,400
71,105,2017-6-15 07:41:14,2017-06-15 07:42:10,,56,0,56
71,105,2017-6-15 07:42:40,2017-06-15 07:47:53,2017-06-15 07:42:40,313,0,313
59,109,2017-6-15 07:42:17,2017-06-15 07:47:02,,285,0,285
59,108,2017-6-15 07:42:02,2017-06-15 07:42:10,,8,0,8
45,111,2017-6-15 07:29:29,2017-06-15 07:33:32,,243,0,243
48,109,2017-6-15 07:39:40,2017-06-15 07:41:01,,81,0,81
59,107,2017-6-15 07:41:30,2017-06-15 07:41:55,,25,0,25
45,105,2017-6-15 07:33:40,2017-06-15 07:35:34,,114,0,114
45,105,2017-6-15 07:41:27,2017-06-15 07:41:38,,11,0,11
59,106,2017-6-15 07:41:13,2017-06-15 07:41:25,,12,0,12
52,111,2017-6-15 07:40:08,2017-06-15 07:40:26,,18,0,18
52,111,2017-6-15 07:40:54,,2017-06-15 07:40:58,0,4,4
45,107,2017-6-15 07:40:50,2017-06-15 07:41:06,,16,0,16
45,106,2017-6-15 07:40:38,2017-06-15 07:40:45,,7,0,7
45,108,2017-6-15 07:40:19,2017-06-15 07:40:31,,12,0,12
18,108,2017-6-15 07:39:56,2017-06-15 07:40:02,,6,0,6
58,108,2017-6-15 07:39:19,2017-06-15 07:42:34,,195,0,195
58,107,2017-6-15 07:39:04,2017-06-15 07:39:11,,7,0,7
58,106,2017-6-15 07:36:26,2017-06-15 07:38:39,,133,0,133
48,108,2017-6-15 07:38:19,2017-06-15 07:38:39,,20,0,20
33,111,2017-6-15 07:37:46,2017-06-15 07:43:57,,371,0,371
33,105,2017-6-15 07:31:20,2017-06-15 07:37:10,2017-06-15 07:37:13,350,353,353
38,111,2017-6-15 07:32:31,2017-06-15 07:35:55,,204,0,204
38,111,2017-6-15 07:36:00,2017-06-15 07:36:02,,2,0,2
38,111,2017-6-15 07:37:05,2017-06-15 07:37:19,,14,0,14
16,111,2017-6-15 07:23:21,2017-06-15 07:29:00,,339,0,339
45,109,2017-6-15 07:36:45,2017-06-15 07:40:07,,202,0,202
16,105,2017-6-15 07:32:38,2017-06-15 07:36:32,,234,0,234
45,110,2017-6-15 07:36:01,2017-06-15 07:36:38,,37,0,37
12,111,2017-6-15 07:35:05,2017-06-15 07:39:15,,250,0,250
18,111,2017-6-15 07:34:22,2017-06-15 07:39:40,,318,0,318
16,110,2017-6-15 07:31:33,2017-06-15 07:32:16,,43,0,43
46,110,2017-6-15 07:30:21,2017-06-15 07:32:44,,143,0,143
16,109,2017-6-15 07:30:12,2017-06-15 07:31:27,,75,0,75
16,108,2017-6-15 07:29:43,2017-06-15 07:30:06,,23,0,23
16,107,2017-6-15 07:29:26,2017-06-15 07:29:37,,11,0,11
16,106,2017-6-15 07:29:07,2017-06-15 07:29:19,,12,0,12
11,107,2017-6-15 07:28:35,2017-06-15 07:28:49,,14,0,14
11,106,2017-6-15 07:28:21,2017-06-15 07:28:28,,7,0,7
46,109,2017-6-15 07:27:56,2017-06-15 07:30:15,,139,0,139
18,110,2017-6-15 07:27:56,2017-06-15 07:28:17,,21,0,21
46,108,2017-6-15 07:27:40,2017-06-15 07:27:47,,7,0,7
46,107,2017-6-15 07:27:12,2017-06-15 07:27:31,,19,0,19
46,106,2017-6-15 07:26:54,2017-06-15 07:27:02,,8,0,8
11,109,2017-6-15 07:26:42,2017-06-15 07:28:13,,91,0,91
38,110,2017-6-15 07:24:00,2017-06-15 07:25:28,,88,0,88
38,110,2017-6-15 07:25:35,2017-06-15 07:26:07,2017-06-15 07:25:35,32,0,32
38,110,2017-6-15 07:26:13,2017-06-15 07:26:15,,2,0,2
38,110,2017-6-15 07:26:20,2017-06-15 07:26:22,,2,0,2
38,110,2017-6-15 07:26:28,2017-06-15 07:26:31,,3,0,3
11,108,2017-6-15 07:26:22,2017-06-15 07:26:34,,12,0,12
12,105,2017-6-15 07:26:16,2017-06-15 07:32:58,,402,0,402
11,105,2017-6-15 07:24:17,2017-06-15 07:25:37,,80,0,80
12,110,2017-6-15 07:24:56,2017-06-15 07:26:12,,76,0,76
11,110,2017-6-15 07:23:23,2017-06-15 07:24:12,,49,0,49
38,109,2017-6-15 07:22:20,2017-06-15 07:23:55,,95,0,95
11,111,2017-6-15 07:22:16,2017-06-15 07:23:19,,63,0,63
38,108,2017-6-15 07:22:11,2017-06-15 07:22:16,,5,0,5
38,107,2017-6-15 07:21:59,2017-06-15 07:22:07,,8,0,8
38,106,2017-6-15 07:21:47,2017-06-15 07:21:54,,7,0,7
65,109,2017-6-15 06:50:30,2017-06-15 06:54:47,,257,0,257
29,105,2017-6-15 05:41:56,2017-06-15 05:44:41,,165,0,165
65,108,2017-6-15 06:47:25,2017-06-15 06:50:16,,171,0,171
65,107,2017-6-15 06:44:59,2017-06-15 06:46:18,,79,0,79
65,106,2017-6-15 06:44:24,2017-06-15 06:44:45,,21,0,21
65,104,2017-6-15 06:42:58,2017-06-15 06:43:45,,47,0,47
65,110,2017-6-15 06:42:34,2017-06-15 06:42:44,,10,0,10
65,105,2017-6-15 06:40:29,2017-06-15 06:42:25,,116,0,116
29,109,2017-6-15 05:57:01,2017-06-15 06:00:06,,185,0,185
55,105,2017-6-15 05:32:27,2017-06-15 05:53:56,,1289,0,1289
29,108,2017-6-15 05:56:47,2017-06-15 05:56:54,,7,0,7
55,108,2017-6-15 05:56:41,2017-06-15 05:56:57,,16,0,16
29,107,2017-6-15 05:56:27,2017-06-15 05:56:33,,6,0,6
55,109,2017-6-15 05:55:06,2017-06-15 05:56:03,,57,0,57
55,107,2017-6-15 05:54:07,2017-06-15 05:54:55,,48,0,48
9,105,2017-6-15 05:47:08,2017-06-15 05:51:46,,278,0,278
29,69,2017-6-15 05:47:40,2017-06-15 05:56:09,,509,0,509
29,68,2017-6-15 05:46:42,2017-06-15 05:47:24,,42,0,42
29,106,2017-6-15 05:46:06,2017-06-15 05:46:16,,10,0,10
54,94,2017-6-1 07:33:30,2017-06-01 07:34:00,,30,0,30
35,110,2017-6-15 05:35:35,2017-06-15 05:41:36,,361,0,361
35,105,2017-6-15 05:29:48,2017-06-15 05:34:35,,287,0,287
13,105,2017-6-14 07:27:24,2017-06-14 07:30:00,,156,0,156
55,106,2017-6-15 05:32:07,2017-06-15 05:32:26,,19,0,19
55,104,2017-6-15 05:30:57,2017-06-15 05:31:53,,56,0,56
55,103,2017-6-15 05:29:55,2017-06-15 05:30:30,,35,0,35
55,102,2017-6-15 05:29:08,2017-06-15 05:29:48,,40,0,40
63,109,2017-6-15 05:28:57,2017-06-15 05:30:27,,90,0,90
55,101,2017-6-15 05:28:38,2017-06-15 05:28:55,,17,0,17
63,108,2017-6-15 05:28:24,2017-06-15 05:28:50,,26,0,26
55,100,2017-6-15 05:28:17,2017-06-15 05:28:27,,10,0,10
63,107,2017-6-15 05:26:48,2017-06-15 05:28:03,,75,0,75
55,99,2017-6-15 05:27:23,2017-06-15 05:28:08,,45,0,45
63,106,2017-6-15 05:26:25,2017-06-15 05:26:38,,13,0,13
55,98,2017-6-15 05:26:09,2017-06-15 05:27:03,,54,0,54
63,104,2017-6-15 05:22:34,2017-06-15 05:26:17,,223,0,223
73,110,2017-6-15 04:25:37,2017-06-15 04:25:59,,22,0,22
73,105,2017-6-15 04:23:39,2017-06-15 04:24:33,,54,0,54
73,105,2017-6-15 04:25:05,2017-06-15 04:25:32,2017-06-15 04:25:05,27,0,27
73,103,2017-6-8 07:45:05,2017-06-08 07:45:31,,26,0,26
73,103,2017-6-15 04:23:11,2017-06-15 04:23:34,2017-06-15 04:23:11,23,0,23
73,102,2017-6-8 07:25:57,2017-06-08 07:37:56,,719,0,719
73,102,2017-6-15 04:21:39,2017-06-15 04:22:08,,29,0,29
73,109,2017-6-15 04:13:15,2017-06-15 04:21:30,,495,0,495
73,108,2017-6-15 04:13:01,2017-06-15 04:13:09,2017-06-15 04:13:01,8,0,8
73,107,2017-6-15 04:11:57,2017-06-15 04:12:08,,11,0,11
73,106,2017-6-15 04:11:41,2017-06-15 04:11:50,,9,0,9
29,110,2017-6-14 15:16:35,2017-06-14 15:20:26,,231,0,231
22,105,2017-6-14 12:30:08,2017-06-14 12:32:07,,119,0,119
22,105,2017-6-14 12:52:12,2017-06-14 12:52:15,,3,0,3
22,105,2017-6-14 12:52:28,2017-06-14 12:52:31,,3,0,3
22,107,2017-6-14 13:08:35,2017-06-14 13:08:45,,10,0,10
22,108,2017-6-14 13:00:03,2017-06-14 13:08:21,,498,0,498
22,109,2017-6-14 12:57:52,2017-06-14 12:59:57,,125,0,125
22,110,2017-6-14 12:52:46,2017-06-14 12:55:23,,157,0,157
22,110,2017-6-14 12:56:09,2017-06-14 12:57:37,2017-06-14 12:56:09,88,0,88
22,104,2017-6-8 07:23:45,2017-06-08 07:43:30,,1185,0,1185
22,104,2017-6-14 12:23:33,2017-06-14 12:25:17,,104,0,104
22,106,2017-6-14 12:29:40,2017-06-14 12:30:06,,26,0,26
22,103,2017-6-8 07:43:35,2017-06-08 07:53:07,,572,0,572
22,103,2017-6-14 12:22:36,2017-06-14 12:23:27,,51,0,51
25,105,2017-6-14 11:14:02,2017-06-14 11:23:33,,571,0,571
25,105,2017-6-14 11:23:38,2017-06-14 11:24:55,2017-06-14 11:23:38,77,0,77
13,110,2017-6-14 07:25:11,2017-06-14 07:26:25,,74,0,74
13,109,2017-6-14 07:23:39,2017-06-14 07:25:02,,83,0,83
13,108,2017-6-14 07:22:31,2017-06-14 07:23:17,,46,0,46
9,107,2017-6-14 06:14:35,2017-06-14 06:14:56,,21,0,21
9,109,2017-6-14 06:10:07,2017-06-14 06:13:48,,221,0,221
9,108,2017-6-14 06:07:50,2017-06-14 06:07:58,,8,0,8
9,106,2017-6-14 06:06:36,2017-06-14 06:06:57,,21,0,21
12,109,2017-6-13 11:54:03,2017-06-13 11:56:28,,145,0,145
12,108,2017-6-13 11:53:29,2017-06-13 11:53:45,,16,0,16
12,106,2017-6-13 11:52:53,2017-06-13 11:53:09,,16,0,16
12,107,2017-6-13 11:49:20,2017-06-13 11:52:33,,193,0,193
54,110,2017-6-13 10:44:51,2017-06-13 10:56:56,,725,0,725
54,109,2017-6-13 10:58:49,2017-06-13 11:01:17,,148,0,148
54,108,2017-6-13 10:58:27,2017-06-13 10:58:44,,17,0,17
54,107,2017-6-13 10:58:05,2017-06-13 10:58:22,,17,0,17
54,106,2017-6-13 10:57:53,2017-06-13 10:58:01,,8,0,8
53,109,2017-6-13 09:26:11,2017-06-13 09:27:58,,107,0,107
53,110,2017-6-13 09:25:22,2017-06-13 09:26:00,,38,0,38
53,108,2017-6-13 09:24:05,2017-06-13 09:24:43,,38,0,38
51,110,2017-6-13 07:49:40,2017-06-13 07:50:42,,62,0,62
32,108,2017-6-13 03:29:13,2017-06-13 03:29:35,,22,0,22
32,107,2017-6-13 03:29:04,2017-06-13 03:29:08,,4,0,4
32,106,2017-6-13 03:28:50,2017-06-13 03:28:57,,7,0,7
20,108,2017-6-12 11:40:50,2017-06-12 11:42:08,,78,0,78
20,108,2017-6-12 11:42:12,2017-06-12 11:42:26,2017-06-12 11:42:12,14,0,14
20,107,2017-6-12 11:40:26,2017-06-12 11:40:37,,11,0,11
20,109,2017-6-12 11:35:28,2017-06-12 11:39:59,,271,0,271
35,108,2017-6-12 10:42:01,2017-06-12 10:43:12,,71,0,71
35,107,2017-6-12 10:41:30,2017-06-12 10:41:41,,11,0,11
35,109,2017-6-12 10:36:47,2017-06-12 10:40:58,,251,0,251
51,106,2017-6-12 07:50:23,2017-06-12 07:50:35,,12,0,12
51,109,2017-6-12 07:46:18,2017-06-12 07:48:31,,133,0,133
51,107,2017-6-12 07:49:25,2017-06-12 07:49:53,,28,0,28
51,108,2017-6-12 07:48:40,2017-06-12 07:49:01,,21,0,21
74,53,2017-6-11 12:35:01,2017-06-11 12:36:25,,84,0,84
74,52,2017-6-11 12:32:27,2017-06-11 12:34:32,,125,0,125
74,48,2017-6-11 12:31:00,2017-06-11 12:32:13,,73,0,73
74,10,2017-6-11 12:30:50,2017-06-11 12:30:54,,4,0,4
74,45,2017-6-11 12:30:29,2017-06-11 12:30:42,,13,0,13
74,108,2017-6-11 10:48:17,2017-06-11 10:48:42,,25,0,25
74,42,2017-6-11 12:06:34,2017-06-11 12:07:11,,37,0,37
74,42,2017-6-11 12:07:29,2017-06-11 12:07:32,,3,0,3
74,41,2017-6-11 12:05:42,2017-06-11 12:05:58,,16,0,16
74,41,2017-6-11 12:06:18,2017-06-11 12:06:24,,6,0,6
74,40,2017-6-11 12:05:28,2017-06-11 12:05:35,,7,0,7
74,39,2017-6-11 12:04:35,2017-06-11 12:04:55,,20,0,20
74,39,2017-6-11 12:05:14,2017-06-11 12:05:17,,3,0,3
74,38,2017-6-11 12:03:55,2017-06-11 12:04:13,,18,0,18
74,37,2017-6-11 12:02:19,2017-06-11 12:03:32,,73,0,73
74,36,2017-6-11 12:01:11,2017-06-11 12:01:52,,41,0,41
74,36,2017-6-11 12:01:54,2017-06-11 12:02:12,2017-06-11 12:01:54,18,0,18
74,9,2017-6-11 12:00:53,2017-06-11 12:00:58,,5,0,5
74,35,2017-6-11 11:59:12,2017-06-11 12:00:07,2017-06-11 12:00:10,55,58,58
74,34,2017-6-11 11:58:46,2017-06-11 11:59:00,,14,0,14
74,33,2017-6-11 11:58:35,2017-06-11 11:58:40,,5,0,5
74,32,2017-6-11 11:54:23,2017-06-11 11:55:14,,51,0,51
74,32,2017-6-11 11:55:26,2017-06-11 11:55:28,,2,0,2
74,32,2017-6-11 11:55:31,2017-06-11 11:58:30,2017-06-11 11:55:31,179,0,179
74,31,2017-6-11 11:53:05,2017-06-11 11:54:09,,64,0,64
74,30,2017-6-11 11:51:14,2017-06-11 11:51:53,,39,0,39
74,30,2017-6-11 11:52:46,2017-06-11 11:52:48,,2,0,2
74,29,2017-6-11 11:47:10,2017-06-11 11:49:38,,148,0,148
74,28,2017-6-11 11:46:18,2017-06-11 11:47:04,,46,0,46
74,27,2017-6-11 11:44:27,2017-06-11 11:46:02,,95,0,95
74,26,2017-6-11 11:17:26,2017-06-11 11:17:43,,17,0,17
74,8,2017-6-11 11:16:47,2017-06-11 11:16:55,,8,0,8
74,25,2017-6-11 11:15:57,2017-06-11 11:16:36,,39,0,39
74,24,2017-6-11 11:15:34,2017-06-11 11:15:47,,13,0,13
74,23,2017-6-11 11:09:11,2017-06-11 11:09:57,,46,0,46
74,23,2017-6-11 11:10:32,2017-06-11 11:10:35,,3,0,3
74,22,2017-6-11 11:08:29,2017-06-11 11:09:05,,36,0,36
74,19,2017-6-11 10:56:18,2017-06-11 10:56:39,,21,0,21
74,20,2017-6-11 10:53:41,2017-06-11 10:54:37,,56,0,56
74,18,2017-6-11 10:53:30,2017-06-11 10:53:36,,6,0,6
74,17,2017-6-11 10:53:19,2017-06-11 10:53:24,,5,0,5
74,16,2017-6-11 10:49:44,2017-06-11 10:50:44,,60,0,60
74,7,2017-6-11 10:49:28,2017-06-11 10:49:39,,11,0,11
74,106,2017-6-11 10:48:46,2017-06-11 10:49:00,,14,0,14
18,107,2017-6-11 03:21:37,2017-06-11 03:21:43,,6,0,6
18,106,2017-6-11 03:21:17,2017-06-11 03:21:26,,9,0,9
48,107,2017-6-11 02:45:46,2017-06-11 02:46:09,,23,0,23
48,106,2017-6-11 02:45:26,2017-06-11 02:45:38,,12,0,12
53,107,2017-6-11 00:52:50,2017-06-11 00:53:12,,22,0,22
29,104,2017-6-10 14:47:23,2017-06-10 14:50:46,,203,0,203
29,103,2017-6-10 14:44:46,2017-06-10 14:47:16,,150,0,150
29,102,2017-6-10 14:43:11,2017-06-10 14:43:45,,34,0,34
29,101,2017-6-10 14:31:51,2017-06-10 14:39:04,,433,0,433
29,100,2017-6-10 14:30:55,2017-06-10 14:31:44,,49,0,49
29,99,2017-6-10 14:25:02,2017-06-10 14:30:17,,315,0,315
29,97,2017-6-10 14:17:54,2017-06-10 14:22:51,,297,0,297
29,98,2017-6-10 14:16:57,2017-06-10 14:17:36,,39,0,39
29,96,2017-6-10 14:14:31,2017-06-10 14:16:30,,119,0,119
29,95,2017-6-10 14:13:29,2017-06-10 14:13:44,,15,0,15
29,94,2017-6-10 14:12:13,2017-06-10 14:13:08,,55,0,55
29,93,2017-6-10 14:11:37,2017-06-10 14:12:01,,24,0,24
29,92,2017-6-10 14:06:56,2017-06-10 14:11:29,,273,0,273
